x,y,z
-54.808109,0.000030,46.181404
-54.857121,4.000031,47.180214
-54.994572,4.000031,47.176826
-57.681583,0.000031,47.289833
-57.546452,0.000031,47.161232
-56.974430,4.000031,47.996925
-57.581425,4.000031,48.905312
-58.474552,0.000031,48.453163
-57.525700,4.000031,48.779671
-58.429752,0.000031,48.352119
-58.505314,0.000031,48.522652
-58.721500,0.000031,49.235481
-58.680668,0.000031,49.053505
-57.710636,4.000031,49.296486
-57.740788,4.000031,49.430580
-57.781071,4.000031,49.702400
-58.776188,0.000031,49.604118
-57.764225,4.000031,49.565987
-58.753422,0.000031,49.419258
-58.776249,0.000031,49.604378
-58.740349,0.000031,49.343933
-57.674015,4.000031,49.164040
-58.619751,0.000031,48.839981
-57.630924,4.000031,49.033546
-58.572453,0.000031,48.696663
-58.630924,0.000031,48.873756
-58.547489,0.000031,48.631889
-58.154118,0.000031,47.865669
-58.046757,0.000031,47.713173
-57.243534,4.000031,48.308876
-57.406727,4.000032,48.550823
-58.345890,0.000031,48.185524
-58.253910,0.000031,48.023232
-57.931950,0.000031,47.566139
-57.810184,0.000031,47.424904
-57.069218,4.000031,48.096474
-57.159000,4.000031,48.200539
-56.448795,0.000031,46.466103
-56.274723,0.000031,46.398964
-55.937809,4.000031,47.340523
-56.540009,4.000085,47.621746
-57.105717,0.000031,46.817238
-56.948185,0.000031,46.717476
-57.405216,0.000031,47.039406
-57.258244,0.000031,46.924660
-56.785831,0.000031,46.625526
-56.619267,0.000031,46.541664
-55.735905,0.000030,46.249855
-55.552128,0.000030,46.217964
-55.405399,4.000031,47.207130
-55.540836,4.000031,47.230629
-56.097599,0.000030,46.340462
-55.917912,0.000030,46.290718
-55.674870,4.000031,47.260750
-55.807316,4.000031,47.297401
-55.367008,0.000030,46.195137
-55.180973,0.000030,46.181404
-55.131901,4.000031,47.180214
-55.268986,4.000031,47.190315
-53.014652,4.000031,47.996925
-52.299137,0.000031,47.298698
-52.919865,4.000031,48.096474
-52.178898,0.000031,47.424904
-52.307560,0.000031,47.289833
-53.923038,4.000031,47.389961
-53.539967,0.000031,46.466263
-53.797428,4.000031,47.445656
-53.369816,0.000031,46.541664
-53.540348,0.000031,46.466103
-54.253239,0.000030,46.249855
-54.071232,0.000030,46.290718
-54.314213,4.000031,47.260750
-54.448307,4.000031,47.230629
-54.622135,0.000030,46.195137
-54.436954,0.000030,46.217964
-54.583683,4.000031,47.207130
-54.720097,4.000031,47.190315
-54.181767,4.000031,47.297401
-53.714481,0.000031,46.398933
-54.051273,4.000031,47.340523
-53.714359,0.000031,46.398964
-53.891483,0.000030,46.340462
-53.635296,0.000031,46.429470
-53.438969,4.000031,47.648720
-52.852077,0.000031,46.839268
-53.326603,4.000031,47.727852
-52.730900,0.000031,46.924660
-52.883366,0.000031,46.817238
-53.674625,4.000031,47.507454
-53.058659,0.000031,46.707436
-53.555058,4.000031,47.575203
-53.040958,0.000031,46.717476
-53.203251,0.000031,46.625526
-53.240395,0.000031,46.606827
-52.910099,0.000031,46.800331
-53.218266,4.000031,47.812416
-52.474857,0.000031,47.133446
-53.114201,4.000031,47.902168
-52.442631,0.000031,47.161232
-52.583866,0.000031,47.039406
-52.700542,0.000031,46.948376
-52.407658,4.000031,48.905312
-51.432194,0.000031,48.656441
-52.358219,4.000031,49.033546
-51.416691,0.000031,48.696663
-51.483829,0.000031,48.522652
-52.666447,4.000031,48.421242
-51.769566,0.000031,47.968925
-52.592960,4.000031,48.537361
-51.735172,0.000031,48.023232
-51.834965,0.000031,47.865669
-52.830143,4.000031,48.200539
-52.047588,0.000031,47.578335
-52.745548,4.000031,48.308876
-51.942326,0.000031,47.713173
-52.057072,0.000031,47.566139
-52.151005,0.000031,47.457268
-51.880741,0.000031,47.800682
-52.525211,4.000031,48.656929
-51.591557,0.000031,48.288277
-52.463383,4.000031,48.779671
-51.559391,0.000031,48.352119
-51.643253,0.000031,48.185524
-51.661945,0.000031,48.152576
-52.248356,4.000031,49.430580
-51.255951,0.000031,49.302380
-52.224857,4.000031,49.565987
-51.235661,0.000031,49.419258
-51.267582,0.000031,49.235481
-52.315128,4.000031,49.164040
-51.326180,0.000031,48.989407
-52.278507,4.000031,49.296486
-51.308414,0.000031,49.053505
-51.358219,0.000031,48.873756
-51.414005,0.000031,48.704857
-52.208073,4.000031,49.702400
-51.208721,0.000031,49.660381
-52.197941,4.000031,49.839455
-51.199162,0.000031,49.790382
-51.212833,0.000031,49.604378
-51.216373,0.000031,49.575691
-51.196781,0.000031,49.885704
-53.729305,0.013683,43.376286
-62.248280,0.000539,47.694969
-51.781429,0.004189,45.514412
-61.188343,0.003548,50.378971
-58.718952,0.003752,53.362743
-50.327690,0.010237,47.124798
-49.747952,0.000985,49.721718
-49.045479,0.002555,52.988029
-57.289494,0.001996,56.464867
-2.139164,0.000021,-85.602234
-2.143742,0.000021,-85.788696
-1.146195,4.000321,-85.307953
1.842708,0.000021,-81.993286
1.656307,0.000021,-81.988708
2.251121,4.000082,-83.031334
4.471859,0.000021,-83.236786
4.343257,0.000021,-83.101685
5.234127,0.000021,-84.508514
5.167055,0.000021,-84.334518
3.931697,4.001337,-83.993713
5.415096,0.000021,-85.231140
5.383235,0.000021,-85.047363
5.451717,0.000021,-85.602234
5.437923,0.000021,-85.416229
5.456230,0.000021,-85.788551
5.437679,0.000021,-85.414009
5.317195,0.000021,-84.774422
5.292663,0.000021,-84.685623
5.342342,0.000021,-84.865387
5.257076,0.000021,-84.577942
4.902889,0.000021,-83.815018
4.815853,0.000021,-83.677551
4.915645,0.000021,-83.835114
5.073347,0.000021,-84.128052
5.007551,0.000021,-83.997383
5.091439,0.000021,-84.164032
5.113722,0.000021,-84.214195
4.593722,0.000021,-83.378067
4.708431,0.000021,-83.525055
3.280941,0.000021,-82.353546
3.110469,0.000021,-82.277954
3.919918,0.000021,-82.736511
3.767391,0.000021,-82.629120
4.208187,0.000021,-82.973083
4.066951,0.000021,-82.851257
3.609859,0.000021,-82.529327
3.447567,0.000021,-82.437408
2.579586,0.000021,-82.102600
2.397640,0.000021,-82.061707
2.764278,0.000021,-82.153984
2.759334,0.000021,-82.152344
2.936458,0.000021,-82.210846
2.213802,0.000021,-82.029846
2.028743,0.000021,-82.006989
-0.895695,0.000021,-82.973083
-1.030705,0.000021,-83.101685
-0.468489,4.000109,-83.923271
0.376094,0.000021,-82.210846
0.202083,0.000021,-82.277954
1.098690,0.000021,-82.029846
0.914913,0.000021,-82.061707
1.469783,0.000021,-81.993286
1.283809,0.000021,-82.006989
1.151180,0.000021,-82.023361
0.732967,0.000021,-82.102600
0.553157,0.000021,-82.152344
-0.297306,0.000021,-82.529327
-0.454899,0.000021,-82.629120
0.802321,4.000256,-83.079811
0.031551,0.000021,-82.353546
-0.135075,0.000021,-82.437408
-0.680025,0.000021,-82.793190
-0.754460,0.000021,-82.851257
-0.607365,0.000021,-82.736511
-1.824650,0.000021,-84.267258
-1.854393,0.000021,-84.334396
-1.778874,0.000021,-84.164001
-1.503033,0.000021,-83.677040
-1.395986,0.000021,-83.525124
-1.159306,0.000021,-83.236717
-1.281242,0.000021,-83.378082
-1.112810,0.000021,-83.187897
-1.375859,0.000021,-83.499306
-1.661442,0.000021,-83.938080
-1.695011,0.000021,-83.997406
-1.603093,0.000021,-83.835114
-2.052737,0.000021,-84.967171
-2.070744,0.000021,-85.047363
-2.029902,0.000021,-84.865616
-1.956425,0.000021,-84.614014
-1.980107,0.000021,-84.685608
-1.921183,0.000021,-84.507355
-1.878266,0.000021,-84.396301
-1.988478,0.000021,-84.715881
-2.120121,0.000021,-85.373123
-2.125432,0.000021,-85.416229
-2.102604,0.000021,-85.231140
-2.139164,0.000021,-85.975159
1.334783,4.000656,-88.629845
1.787410,0.000020,-89.585495
1.842708,0.000020,-89.584137
1.656307,0.000020,-89.588715
-1.030705,0.000020,-88.475708
-0.895695,0.000020,-88.604309
-0.691769,4.001332,-87.495178
-1.810124,0.000020,-87.342918
-1.778874,0.000020,-87.413422
-1.854435,0.000020,-87.242889
-2.070744,0.000020,-86.530060
-2.029850,0.000020,-86.712036
-2.125432,0.000020,-86.161163
-2.102604,0.000020,-86.346283
-1.980107,0.000020,-86.891785
-1.921574,0.000020,-87.068878
-1.503361,0.000020,-87.899872
-1.395939,0.000020,-88.052368
-1.695011,0.000020,-87.580017
-1.603093,0.000020,-87.742310
-1.281193,0.000020,-88.199402
-1.159367,0.000020,-88.340637
-1.362360,0.000020,-88.095367
0.202123,0.000020,-89.299454
0.376074,0.000020,-89.366570
0.328121,0.000020,-89.348061
-0.332106,0.000020,-89.026047
-0.297306,0.000020,-89.048065
-0.454899,0.000020,-88.948303
-0.607538,0.000020,-88.840759
-0.754514,0.000020,-88.726097
-0.881491,0.000020,-88.616585
-0.581608,0.000020,-88.859047
-0.135075,0.000020,-89.140015
0.031592,0.000020,-89.223892
0.175167,0.000020,-89.287498
0.916988,0.000020,-89.516052
1.098690,0.000020,-89.547577
0.914933,0.000020,-89.515686
0.553157,0.000020,-89.425079
0.732967,0.000020,-89.474823
1.350399,0.000020,-89.575325
1.283809,0.000020,-89.570404
1.099727,0.000020,-89.547707
1.536129,0.000020,-89.585762
4.436824,0.000020,-88.377434
4.471859,0.000020,-88.340637
4.343257,0.000020,-88.475708
3.096916,4.000222,-88.229721
3.150432,0.000020,-89.281738
3.280941,0.000020,-89.223877
3.110534,0.000020,-89.299416
2.397640,0.000020,-89.515686
2.579586,0.000020,-89.474823
2.028743,0.000020,-89.570404
2.213802,0.000020,-89.547577
2.764705,0.000020,-89.423317
2.936557,0.000020,-89.366547
2.759384,0.000020,-89.425064
2.618526,0.000020,-89.464050
3.041622,0.000020,-89.326012
3.856868,0.000020,-88.885269
3.919811,0.000020,-88.840965
3.767517,0.000020,-88.948219
3.447567,0.000020,-89.140015
3.609859,0.000020,-89.048065
3.361202,0.000020,-89.183495
3.623104,0.000020,-89.039696
4.138851,0.000020,-88.664093
4.208187,0.000020,-88.604309
4.066927,0.000020,-88.726158
4.440054,4.001906,-86.637077
5.212276,0.000020,-87.125557
5.234127,0.000020,-87.068878
5.167049,0.000020,-87.242889
4.815853,0.000020,-87.899872
4.915645,0.000020,-87.742310
4.593685,0.000020,-88.199402
4.708431,0.000020,-88.052368
4.589839,0.000020,-88.203873
4.769588,0.000020,-87.965584
5.007564,0.000020,-87.580017
5.091426,0.000020,-87.413422
5.383235,0.000020,-86.530060
5.415096,0.000020,-86.346283
5.317684,0.000020,-86.801353
5.342342,0.000020,-86.712036
5.292659,0.000020,-86.891785
5.437923,0.000020,-86.161163
5.451717,0.000021,-85.975159
5.429317,0.000020,-86.231079
5.452022,0.000021,-85.963150
