I,J,K
1891,4125,2907
3544,3545,3064
3786,2907,3000
3071,747,512
2474,4456,4454
2561,2657,3243
1990,229,1812
3982,4092,5441
2625,276,637
2221,2265,128
3141,2846,740
222,5581,234
2881,3652,2880
1294,4912,2144
3213,3339,1851
1295,2585,933
2398,1224,1053
2529,1311,3591
3996,920,2603
2572,2124,2514
1529,1671,4648
278,324,3105
1052,2008,4068
3198,3351,2825
4627,3780,3248
531,100,2161
2089,782,2333
4492,1559,4300
2986,2987,4647
3237,2789,3813
2731,5015,2530
3047,4973,5085
3116,795,1793
715,1841,2637
4101,1586,1901
5675,2471,233
478,384,3144
3366,2504,3061
2837,1769,4027
3490,1767,4956
2849,92,895
3086,3394,5085
119,71,3027
785,2559,1569
2750,3162,1878
3317,2008,3016
3286,1657,3023
887,1521,2100
2755,2288,3787
4434,3949,298
668,1104,1465
3815,1451,3727
870,2497,1458
607,1043,2183
4395,161,1095
2665,4661,2132
1922,494,3160
748,2384,997
2588,679,533
1957,2610,3973
1838,2734,900
3619,479,3461
919,3631,3985
1620,3051,1700
4645,1806,1677
727,2533,2791
1172,4386,1569
5643,1625,4095
1158,2736,1157
4071,3729,4456
803,177,804
1066,2828,4073
2762,556,1371
3397,3615,2085
4970,681,1201
3490,1545,1767
5392,1157,2736
1731,2292,1732
1436,256,3134
330,393,1689
3406,2019,2109
5023,3441,2420
1526,1288,3188
632,528,856
1318,4676,3659
5043,61,81
2840,221,117
4123,2965,2016
3248,2042,2654
888,2456,3574
2101,3725,202
1885,4128,2767
4503,5874,4130
2195,4170,3803
371,2252,3444
3324,4153,5040
4075,2455,420
1807,3433,775
815,1821,3310
3531,2810,2410
623,77,1571
1233,2837,2430
678,2859,3377
2411,1673,286
3109,2696,1650
3985,3631,1038
4072,5130,403
2153,2249,5007
4636,1702,4145
5401,1347,1348
92,2849,1917
3093,4172,4139
992,1481,3298
770,1949,646
1271,144,887
1125,3118,115
1960,74,3543
1286,2170,2655
5216,4824,4935
4149,2804,3348
1466,75,343
625,320,684
2120,3183,437
5694,3862,1989
5970,6591,5753
3326,414,323
1384,2152,1115
1563,2248,5401
263,83,82
3140,2360,4255
2915,3154,4376
2525,849,590
208,1885,1314
2531,3434,2503
2788,2333,782
3277,4775,4048
606,1337,3322
2145,927,4866
2351,154,1781
4397,1484,3793
540,3249,304
2943,228,253
742,3164,673
2365,2227,2338
555,822,925
2243,2013,994
139,3066,2419
2521,4203,2328
1714,1727,1062
3966,1997,2177
968,140,549
1646,1581,4062
3071,558,747
1129,1130,3145
1073,4833,5203
3391,2107,4437
1934,2808,4443
2931,241,1774
4766,1012,2830
3979,2995,1464
4747,357,926
3040,366,825
4229,4061,3091
2639,3846,2628
1960,3543,944
2039,2246,3709
1236,2385,3720
1436,3529,1047
1304,1385,2743
2811,2930,3308
3181,1298,3778
3035,1741,1464
404,1959,3083
4383,4242,4243
232,845,3131
3034,2021,1471
2169,3161,1853
496,1586,629
2919,4636,4145
930,3540,3575
1802,4252,2032
1655,3482,3481
4168,2228,3670
3547,348,1601
2246,3749,3876
4633,1825,4255
2558,1734,204
616,2142,4074
3772,2317,2163
2435,771,132
3808,981,2263
2235,3743,4126
2799,3674,1197
3223,3065,3387
4112,2588,880
251,1356,2452
1304,2743,1927
1348,6264,1563
3164,536,290
4066,2092,1117
2915,4376,2428
2314,383,3254
2015,4668,860
122,3640,2054
439,2323,4411
2082,1082,389
2886,2782,159
1419,4394,3424
2589,2083,1084
1573,2495,1488
2034,2047,273
4207,1430,4873
2950,3038,2012
5130,4072,4272
2139,4600,1925
4548,1653,4268
4288,3833,6004
3083,2269,65
1659,2175,4398
1103,4292,987
287,305,1394
2735,1590,3450
2006,3717,3869
4685,3472,326
615,513,3812
1420,3716,740
1671,3023,4648
3469,1296,4500
727,4028,2533
2520,794,504
3478,2538,3870
2346,2627,2055
1509,356,2562
1433,1473,1764
4318,5363,3745
4808,4736,3469
5213,967,2599
2478,1142,3460
336,932,106
344,3444,1520
3754,3599,4325
2178,3023,1671
3559,4887,898
4332,2326,2671
3396,923,451
1213,652,2249
3536,1593,2995
1858,4591,779
1367,3064,1530
1828,3452,1483
3213,3398,4340
1695,1365,3259
1227,1228,1712
5121,891,1404
329,258,1980
1596,683,1042
4344,1681,4731
5091,1983,445
362,5298,4158
4310,1272,3487
3201,2369,2223
1325,3470,309
2011,3348,1005
4604,4559,840
1256,2741,45
2139,1118,1456
2118,291,3202
1165,3709,2246
304,2570,540
1970,3061,487
2803,3541,129
5588,1995,4535
2445,514,1618
2831,682,475
747,2580,4294
3697,1578,2665
3756,2022,439
3466,1259,3459
201,3374,1722
1931,1853,3161
881,2076,797
1002,3759,4368
151,1537,719
4365,3134,4443
4364,4086,4368
3006,4367,4366
4369,2435,2897
1159,2451,2264
4373,1159,2239
1159,4373,2451
2103,4055,882
1159,2264,4375
4386,4384,1569
4377,2606,4382
4386,4377,4382
4387,5003,4939
184,1065,1880
4386,1172,4377
1071,4165,3519
2214,1164,576
4067,2631,1841
4086,1002,4368
2240,4367,4146
4388,361,4367
2542,361,4388
4363,452,4388
3977,452,4363
4229,4391,4061
4061,4391,2763
1002,1001,3759
2763,4391,5317
1001,1002,4393
4395,2636,161
161,2636,4396
2934,4086,4364
161,4396,4398
4397,4398,4396
4398,4397,226
4399,4397,4396
3567,1156,63
2176,4400,2175
2175,3640,916
4398,916,161
837,1410,856
1410,837,3773
2174,289,97
2278,2128,4195
2732,4403,2597
3019,2627,4507
2252,2278,4406
3444,2252,4407
4407,2252,4406
4407,2735,1520
4409,1520,2735
1520,4409,2940
4409,3900,2940
3834,4660,1105
3900,4410,2940
3029,2605,3272
4410,2323,2940
4410,539,4411
4422,2484,69
2391,2484,4422
439,4411,2484
2484,4421,439
1149,4817,2117
4421,2864,3101
3568,4922,285
236,655,2581
5781,5788,4423
4426,4427,6031
4429,2045,1817
4428,351,3273
651,2911,4430
1775,3217,651
2674,774,2398
2410,185,4435
4732,2809,4505
2790,1775,1871
1154,3134,4365
4365,4443,3113
3134,4444,4443
4365,1813,703
