NO_OF_FRAMES	7320
NO_OF_CAMERAS	14
NO_OF_MARKERS	11
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-06-20, 11:50:43.813	92047.82596720
DATA_INCLUDED	3D
MARKER_NAMES	skull_phantom1	skull_phantom2	skull_phantom3	skull_phantom4	catheter3_mid3_tip1	catheter3_mid3_tip2	catheter3_mid3_tip3	catheter3_mid3_tip4	catheter3_mid3_tip5	catheter3_mid3_tip6	catheter3_mid3_tip7
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed
Frame	Time	skull_phantom1 X	skull_phantom1 Y	skull_phantom1 Z	skull_phantom2 X	skull_phantom2 Y	skull_phantom2 Z	skull_phantom3 X	skull_phantom3 Y	skull_phantom3 Z	skull_phantom4 X	skull_phantom4 Y	skull_phantom4 Z	catheter3_mid3_tip1 X	catheter3_mid3_tip1 Y	catheter3_mid3_tip1 Z	catheter3_mid3_tip2 X	catheter3_mid3_tip2 Y	catheter3_mid3_tip2 Z	catheter3_mid3_tip3 X	catheter3_mid3_tip3 Y	catheter3_mid3_tip3 Z	catheter3_mid3_tip4 X	catheter3_mid3_tip4 Y	catheter3_mid3_tip4 Z	catheter3_mid3_tip5 X	catheter3_mid3_tip5 Y	catheter3_mid3_tip5 Z	catheter3_mid3_tip6 X	catheter3_mid3_tip6 Y	catheter3_mid3_tip6 Z	catheter3_mid3_tip7 X	catheter3_mid3_tip7 Y	catheter3_mid3_tip7 Z	
28	0.13500	417.644	334.825	221.014	390.117	393.582	177.504	450.150	324.739	133.833	387.731	300.472	186.743	-156.889	299.491	170.050	-178.452	353.566	54.724	-171.349	301.758	173.403	-176.922	304.034	225.459	-178.133	267.504	206.768	-147.927	257.733	256.955	-195.093	385.591	-6.961
29	0.14000	417.639	334.835	221.002	390.113	393.578	177.520	450.159	324.739	133.829	387.722	300.479	186.740	-156.370	300.127	170.239	-178.164	353.876	54.855	-170.849	302.326	173.637	-176.258	304.761	225.674	-177.444	268.160	207.074	-147.033	258.661	257.238	-194.750	385.778	-6.910
30	0.14500	417.644	334.835	221.011	390.123	393.580	177.518	450.154	324.742	133.828	387.720	300.472	186.742	-155.858	300.707	170.489	-177.892	354.098	55.006	-170.291	302.885	173.925	-175.564	305.526	225.923	-176.660	268.809	207.492	-146.060	259.634	257.619	-194.412	385.893	-6.769
31	0.15000	417.645	334.832	221.006	390.121	393.596	177.507	450.160	324.739	133.834	387.718	300.488	186.738	-155.295	301.272	170.856	-177.620	354.253	55.232	-169.717	303.463	174.327	-174.772	306.309	226.395	-175.852	269.497	208.135	-145.037	260.674	258.118	-194.165	385.898	-6.591
32	0.15500	417.646	334.842	221.010	390.120	393.595	177.509	450.150	324.755	133.831	387.721	300.478	186.743	-154.691	301.804	171.309	-177.375	354.297	55.522	-169.118	304.022	174.772	-174.024	307.082	226.863	-175.031	270.201	208.733	-143.995	261.697	258.699	-193.958	385.771	-6.360
33	0.16000	417.642	334.852	221.016	390.123	393.596	177.523	450.149	324.732	133.826	387.722	300.491	186.733	-154.135	302.324	171.778	-177.178	354.228	55.852	-168.527	304.508	175.337	-173.179	307.858	227.386	-174.232	270.908	209.558	-142.983	262.725	259.357	-193.816	385.466	-6.163
34	0.16500	417.638	334.843	221.009	390.111	393.582	177.499	450.152	324.741	133.831	387.720	300.491	186.732	-153.554	302.789	172.376	-177.024	354.114	56.208	-167.964	305.003	175.889	-172.381	308.636	227.973	-173.452	271.557	210.361	-141.950	263.718	260.096	-193.620	385.059	-5.814
35	0.17000	417.645	334.839	221.008	390.123	393.593	177.517	450.152	324.728	133.832	387.721	300.487	186.745	-153.043	303.207	172.946	-176.829	353.868	56.637	-167.474	305.431	176.665	-171.558	309.406	228.666	-172.739	272.197	211.259	-140.912	264.725	260.896	-193.443	384.595	-5.581
36	0.17500	417.644	334.840	221.007	390.115	393.590	177.513	450.157	324.736	133.828	387.724	300.487	186.738	-152.575	303.554	173.604	-176.660	353.603	57.153	-167.005	305.849	177.323	-170.798	310.157	229.364	-172.062	272.810	212.244	-139.975	265.699	261.742	-193.275	384.061	-5.172
37	0.18000	417.639	334.834	221.010	390.122	393.596	177.523	450.162	324.732	133.832	387.721	300.477	186.745	-152.171	303.909	174.269	-176.551	353.284	57.614	-166.548	306.186	178.030	-170.151	310.888	230.043	-171.467	273.406	213.219	-139.185	266.672	262.625	-193.186	383.538	-4.812
38	0.18500	417.634	334.830	221.013	390.121	393.585	177.515	450.152	324.726	133.827	387.725	300.477	186.731	-151.793	304.168	174.970	-176.395	352.953	58.084	-166.165	306.566	178.740	-169.552	311.575	230.790	-170.970	274.019	214.244	-138.497	267.603	263.524	-193.024	382.967	-4.397
39	0.19000	417.648	334.830	221.003	390.127	393.582	177.526	450.163	324.722	133.837	387.715	300.463	186.741	-151.502	304.374	175.658	-176.295	352.477	58.600	-165.905	306.751	179.584	-169.099	312.211	231.515	-170.598	274.545	215.253	-137.969	268.413	264.539	-192.821	382.382	-3.949
40	0.19500	417.642	334.823	221.009	390.120	393.581	177.520	450.157	324.710	133.834	387.721	300.470	186.729	-151.339	304.525	176.453	-176.350	351.958	59.096	-165.677	306.946	180.313	-168.736	312.754	232.270	-170.300	274.944	216.260	-137.526	269.244	265.451	-192.442	381.238	-3.859
41	0.20000	417.648	334.817	221.006	390.121	393.573	177.517	450.160	324.723	133.828	387.729	300.470	186.733	-151.197	304.578	177.250	-176.005	351.529	59.753	-165.573	307.093	181.090	-168.537	313.232	233.027	-170.170	275.319	217.309	-137.346	269.875	266.519	-192.308	381.047	-3.068
42	0.20500	417.636	334.821	221.016	390.119	393.584	177.511	450.158	324.721	133.842	387.721	300.461	186.727	-151.164	304.556	178.078	-175.830	350.989	60.233	-165.535	307.070	181.931	-168.480	313.630	233.780	-170.183	275.533	218.262	-137.369	270.418	267.511	-192.032	380.355	-2.607
43	0.21000	417.636	334.822	221.003	390.126	393.581	177.512	450.156	324.718	133.824	387.721	300.470	186.728	-151.212	304.439	178.875	-175.703	350.411	60.923	-165.582	307.031	182.755	-168.562	313.868	234.523	-170.364	275.698	219.235	-137.624	270.762	268.591	-191.742	379.670	-2.063
44	0.21500	417.637	334.826	220.998	390.110	393.584	177.504	450.154	324.726	133.813	387.719	300.477	186.736	-151.399	304.250	179.739	-175.721	349.737	61.414	-165.748	306.881	183.551	-168.765	314.013	235.285	-170.709	275.773	220.260	-138.037	270.964	269.638	-191.327	378.451	-1.932
45	0.22000	417.638	334.833	221.005	390.118	393.587	177.513	450.151	324.714	133.826	387.710	300.478	186.731	-151.667	303.917	180.572	-175.540	349.138	62.066	-166.042	306.623	184.432	-169.171	314.018	236.083	-171.185	275.761	221.217	-138.668	270.999	270.653	-191.001	377.760	-1.339
46	0.22500	417.635	334.841	221.002	390.118	393.589	177.520	450.155	324.728	133.823	387.716	300.492	186.732	-151.995	303.566	181.474	-175.151	348.611	62.768	-166.356	306.369	185.127	-169.678	313.882	236.818	-171.803	275.517	222.012	-139.533	270.842	271.676	-190.719	377.474	-0.556
47	0.23000	417.635	334.831	221.008	390.107	393.590	177.508	450.150	324.726	133.825	387.706	300.484	186.734	-152.379	303.131	182.300	-174.911	347.955	63.416	-166.759	305.981	185.911	-170.359	313.640	237.504	-172.559	275.303	222.824	-140.606	270.519	272.671	-190.338	376.764	0.077
48	0.23500	417.631	334.843	221.011	390.117	393.590	177.514	450.155	324.741	133.827	387.706	300.498	186.737	-152.862	302.566	183.138	-174.726	347.344	64.073	-167.237	305.516	186.720	-171.178	313.217	238.271	-173.425	274.862	223.571	-141.827	270.053	273.663	-189.910	375.983	0.509
49	0.24000	417.630	334.852	221.004	390.111	393.598	177.510	450.152	324.735	133.828	387.707	300.490	186.731	-153.385	301.960	184.026	-174.682	346.595	64.679	-167.810	304.929	187.482	-172.076	312.658	238.999	-174.370	274.272	224.327	-143.160	269.388	274.603	-189.480	374.760	0.943
50	0.24500	417.628	334.844	221.002	390.114	393.586	177.512	450.146	324.729	133.822	387.718	300.508	186.733	-153.938	301.270	184.900	-174.187	345.993	65.460	-168.382	304.307	188.235	-173.078	311.998	239.726	-175.378	273.626	224.965	-144.647	268.545	275.521	-189.092	374.506	1.856
51	0.25000	417.629	334.844	221.012	390.112	393.580	177.507	450.153	324.729	133.826	387.711	300.496	186.723	-154.512	300.503	185.811	-173.922	345.227	66.235	-168.992	303.597	189.061	-174.112	311.205	240.484	-176.427	272.863	225.596	-146.205	267.576	276.498	-188.561	373.605	2.438
52	0.25500	417.634	334.840	221.002	390.112	393.583	177.506	450.160	324.736	133.821	387.707	300.483	186.731	-155.087	299.675	186.752	-173.596	344.524	66.976	-169.575	302.804	189.884	-175.185	310.352	241.263	-177.514	272.017	226.300	-147.791	266.508	277.438	-188.100	372.775	3.181
53	0.26000	417.640	334.834	221.002	390.109	393.598	177.507	450.151	324.727	133.821	387.712	300.489	186.728	-155.668	298.784	187.728	-173.436	343.638	67.693	-170.164	302.008	190.726	-176.240	309.386	242.053	-178.556	271.129	226.963	-149.376	265.345	278.338	-187.500	371.345	3.595
