NO_OF_FRAMES	6378
NO_OF_CAMERAS	14
NO_OF_MARKERS	8
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-06-20, 10:36:43.083	87607.09578570
DATA_INCLUDED	3D
MARKER_NAMES	skull_phantom1	skull_phantom2	skull_phantom3	skull_phantom4	catheter_tip1	catheter_tip2	catheter_tip3	catheter_tip4
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Virtual	Measured
Frame	Time	skull_phantom1 X	skull_phantom1 Y	skull_phantom1 Z	skull_phantom2 X	skull_phantom2 Y	skull_phantom2 Z	skull_phantom3 X	skull_phantom3 Y	skull_phantom3 Z	skull_phantom4 X	skull_phantom4 Y	skull_phantom4 Z	catheter_tip1 X	catheter_tip1 Y	catheter_tip1 Z	catheter_tip2 X	catheter_tip2 Y	catheter_tip2 Z	catheter_tip3 X	catheter_tip3 Y	catheter_tip3 Z	catheter_tip4 X	catheter_tip4 Y	catheter_tip4 Z	
70	0.34500	338.591	353.349	182.604	302.095	413.406	148.493	351.593	347.222	90.451	301.802	320.046	154.373	303.303	84.548	-20.442	356.259	72.263	3.580	60.978	67.398	-21.896	305.266	42.815	-19.823
71	0.35000	338.592	353.350	182.605	302.087	413.416	148.489	351.597	347.230	90.441	301.804	320.046	154.357	303.293	84.574	-20.433	356.251	72.250	3.582	60.965	67.519	-21.821	305.251	42.811	-19.792
72	0.35500	338.599	353.351	182.613	302.087	413.419	148.493	351.596	347.229	90.444	301.803	320.049	154.356	303.285	84.560	-20.441	356.249	72.265	3.574	60.969	67.370	-21.845	305.272	42.810	-19.807
73	0.36000	338.603	353.340	182.614	302.095	413.410	148.499	351.597	347.220	90.445	301.808	320.040	154.362	303.289	84.562	-20.436	356.252	72.255	3.585	60.971	67.417	-21.881	305.268	42.818	-19.815
74	0.36500	338.594	353.357	182.605	302.095	413.416	148.505	351.602	347.214	90.450	301.812	320.033	154.354	303.292	84.557	-20.455	356.255	72.252	3.583	60.979	67.433	-21.904	305.282	42.813	-19.794
75	0.37000	338.591	353.327	182.608	302.100	413.403	148.512	351.607	347.212	90.451	301.802	320.027	154.359	303.303	84.561	-20.446	356.252	72.260	3.586	60.979	67.416	-21.886	305.276	42.786	-19.781
76	0.37500	338.589	353.328	182.605	302.088	413.403	148.509	351.606	347.201	90.454	301.800	320.025	154.365	303.292	84.550	-20.447	356.251	72.257	3.581	60.973	67.443	-21.883	305.270	42.829	-19.801
77	0.38000	338.591	353.319	182.612	302.086	413.399	148.515	351.596	347.202	90.450	301.799	320.019	154.362	303.293	84.562	-20.456	356.251	72.265	3.578	60.974	67.414	-21.959	305.265	42.826	-19.839
78	0.38500	338.594	353.326	182.609	302.096	413.391	148.522	351.596	347.201	90.454	301.796	320.021	154.359	303.312	84.546	-20.460	356.256	72.263	3.579	60.989	67.400	-21.952	305.287	42.809	-19.804
79	0.39000	338.584	353.321	182.627	302.087	413.394	148.512	351.599	347.206	90.462	301.790	320.012	154.369	303.296	84.541	-20.436	356.261	72.253	3.582	60.984	67.331	-21.856	305.293	42.807	-19.802
