NO_OF_FRAMES	12020
NO_OF_CAMERAS	14
NO_OF_MARKERS	11
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-06-20, 11:49:28.214	91972.22731710
DATA_INCLUDED	3D
MARKER_NAMES	skull_phantom1	skull_phantom2	skull_phantom3	skull_phantom4	catheter3_mid3_tip1	catheter3_mid3_tip2	catheter3_mid3_tip3	catheter3_mid3_tip4	catheter3_mid3_tip5	catheter3_mid3_tip6	catheter3_mid3_tip7
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed
Frame	Time	skull_phantom1 X	skull_phantom1 Y	skull_phantom1 Z	skull_phantom2 X	skull_phantom2 Y	skull_phantom2 Z	skull_phantom3 X	skull_phantom3 Y	skull_phantom3 Z	skull_phantom4 X	skull_phantom4 Y	skull_phantom4 Z	catheter3_mid3_tip1 X	catheter3_mid3_tip1 Y	catheter3_mid3_tip1 Z	catheter3_mid3_tip2 X	catheter3_mid3_tip2 Y	catheter3_mid3_tip2 Z	catheter3_mid3_tip3 X	catheter3_mid3_tip3 Y	catheter3_mid3_tip3 Z	catheter3_mid3_tip4 X	catheter3_mid3_tip4 Y	catheter3_mid3_tip4 Z	catheter3_mid3_tip5 X	catheter3_mid3_tip5 Y	catheter3_mid3_tip5 Z	catheter3_mid3_tip6 X	catheter3_mid3_tip6 Y	catheter3_mid3_tip6 Z	catheter3_mid3_tip7 X	catheter3_mid3_tip7 Y	catheter3_mid3_tip7 Z	
28	0.13500	418.754	335.011	221.181	390.958	393.702	177.870	451.077	325.446	133.958	388.732	300.511	187.147	317.237	481.568	15.024	188.689	481.807	2.641	314.796	481.765	30.916	360.814	513.370	30.625	356.724	480.117	54.167	412.703	477.206	34.178	117.848	488.193	2.183
29	0.14000	418.752	335.012	221.179	390.968	393.685	177.865	451.072	325.447	133.944	388.724	300.513	187.135	317.234	481.566	15.034	188.702	481.791	2.641	314.788	481.771	30.913	360.814	513.361	30.638	356.727	480.133	54.078	412.696	477.215	34.194	117.842	488.210	2.211
30	0.14500	418.749	335.005	221.191	390.964	393.695	177.865	451.079	325.440	133.948	388.725	300.507	187.136	317.216	481.566	15.031	188.711	481.756	2.675	314.790	481.768	30.910	360.819	513.361	30.629	356.729	480.134	54.078	412.711	477.213	34.180	117.841	488.206	2.168
31	0.15000	418.751	335.018	221.179	390.968	393.686	177.866	451.080	325.447	133.956	388.724	300.510	187.125	317.246	481.560	15.010	188.727	481.747	2.636	314.797	481.775	30.905	360.827	513.352	30.639	356.724	480.114	54.080	412.701	477.213	34.182	117.868	488.197	2.167
32	0.15500	418.764	335.008	221.176	390.963	393.696	177.870	451.075	325.443	133.949	388.723	300.511	187.127	317.230	481.559	15.005	188.707	481.755	2.680	314.799	481.765	30.905	360.818	513.361	30.639	356.734	480.133	54.091	412.711	477.213	34.183	117.854	488.196	2.145
33	0.16000	418.762	335.005	221.175	390.962	393.688	177.866	451.077	325.442	133.952	388.724	300.493	187.124	317.227	481.556	15.020	188.725	481.775	2.651	314.793	481.766	30.906	360.828	513.351	30.639	356.733	480.129	54.074	412.700	477.210	34.180	117.864	488.185	2.136
34	0.16500	418.762	335.005	221.177	390.975	393.711	177.855	451.076	325.426	133.942	388.720	300.500	187.126	317.230	481.561	15.019	188.711	481.751	2.679	314.792	481.765	30.909	360.835	513.359	30.639	356.731	480.125	54.063	412.697	477.217	34.180	117.861	488.173	2.154
35	0.17000	418.764	335.006	221.175	390.976	393.701	177.855	451.067	325.426	133.940	388.726	300.499	187.124	317.226	481.582	15.014	188.729	481.769	2.666	314.798	481.766	30.912	360.827	513.371	30.626	356.725	480.118	54.070	412.702	477.217	34.171	117.860	488.184	2.147
36	0.17500	418.766	335.004	221.172	390.976	393.700	177.863	451.078	325.427	133.944	388.729	300.495	187.111	317.240	481.548	15.033	188.735	481.737	2.708	314.793	481.763	30.898	360.819	513.341	30.628	356.740	480.118	54.062	412.692	477.207	34.188	117.861	488.175	2.121
37	0.18000	418.764	334.996	221.187	390.967	393.697	177.867	451.080	325.434	133.940	388.730	300.493	187.114	317.240	481.541	15.033	188.728	481.743	2.677	314.787	481.770	30.894	360.820	513.352	30.636	356.729	480.113	54.060	412.699	477.227	34.176	117.864	488.177	2.149
38	0.18500	418.763	334.998	221.179	390.963	393.696	177.856	451.076	325.434	133.949	388.723	300.494	187.110	317.242	481.561	14.997	188.727	481.752	2.634	314.792	481.763	30.886	360.826	513.362	30.626	356.722	480.114	54.057	412.700	477.216	34.169	117.859	488.197	2.108
39	0.19000	418.756	335.000	221.173	390.966	393.698	177.866	451.074	325.423	133.947	388.714	300.504	187.118	317.247	481.545	15.007	188.699	481.763	2.675	314.787	481.774	30.899	360.829	513.360	30.631	356.722	480.116	54.053	412.700	477.214	34.189	117.852	488.186	2.126
40	0.19500	418.750	335.015	221.178	390.974	393.698	177.861	451.067	325.428	133.943	388.719	300.500	187.111	317.205	481.567	15.017	188.706	481.774	2.663	314.780	481.749	30.900	360.817	513.353	30.627	356.714	480.123	54.058	412.693	477.215	34.170	117.852	488.178	2.116
41	0.20000	418.752	334.999	221.171	390.959	393.686	177.860	451.062	325.425	133.944	388.713	300.492	187.113	317.217	481.540	15.030	188.698	481.771	2.677	314.778	481.765	30.890	360.807	513.353	30.618	356.716	480.114	54.046	412.693	477.206	34.168	117.844	488.167	2.137
42	0.20500	418.741	335.011	221.175	390.964	393.707	177.857	451.064	325.427	133.942	388.709	300.506	187.108	317.228	481.546	14.992	188.692	481.762	2.638	314.778	481.753	30.902	360.816	513.366	30.626	356.714	480.119	54.058	412.697	477.210	34.175	117.835	488.231	2.120
43	0.21000	418.750	335.013	221.171	390.969	393.702	177.864	451.056	325.430	133.945	388.701	300.486	187.116	317.230	481.528	15.014	188.664	481.805	2.653	314.781	481.766	30.904	360.806	513.357	30.636	356.705	480.120	54.059	412.694	477.218	34.175	117.816	488.196	2.104
