NO_OF_FRAMES	5630
NO_OF_CAMERAS	14
NO_OF_MARKERS	11
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-06-20, 11:03:50.756	89234.76822660
DATA_INCLUDED	3D
EVENT	Extra markers on catheter, marker on tip, ideal phantom angle	1	0.00000
MARKER_NAMES	skull_phantom1	skull_phantom2	skull_phantom3	skull_phantom4	catheter3_mid3_tip1	catheter3_mid3_tip2	catheter3_mid3_tip3	catheter3_mid3_tip4	catheter3_mid3_tip5	catheter3_mid3_tip6	catheter3_mid3_tip7
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed
Frame	Time	skull_phantom1 X	skull_phantom1 Y	skull_phantom1 Z	skull_phantom2 X	skull_phantom2 Y	skull_phantom2 Z	skull_phantom3 X	skull_phantom3 Y	skull_phantom3 Z	skull_phantom4 X	skull_phantom4 Y	skull_phantom4 Z	catheter3_mid3_tip1 X	catheter3_mid3_tip1 Y	catheter3_mid3_tip1 Z	catheter3_mid3_tip2 X	catheter3_mid3_tip2 Y	catheter3_mid3_tip2 Z	catheter3_mid3_tip3 X	catheter3_mid3_tip3 Y	catheter3_mid3_tip3 Z	catheter3_mid3_tip4 X	catheter3_mid3_tip4 Y	catheter3_mid3_tip4 Z	catheter3_mid3_tip5 X	catheter3_mid3_tip5 Y	catheter3_mid3_tip5 Z	catheter3_mid3_tip6 X	catheter3_mid3_tip6 Y	catheter3_mid3_tip6 Z	catheter3_mid3_tip7 X	catheter3_mid3_tip7 Y	catheter3_mid3_tip7 Z	
27	0.13000	419.915	339.243	221.131	390.550	397.114	177.876	451.982	330.148	133.758	390.595	303.972	187.339	316.918	472.213	47.184	190.807	475.009	17.316	319.223	464.925	33.968	364.610	441.935	29.852	364.071	483.895	30.339	412.381	469.439	61.839	122.588	469.033	-1.075
28	0.13500	419.912	339.232	221.127	390.542	397.109	177.881	451.989	330.152	133.763	390.586	303.977	187.342	316.920	472.207	47.176	190.794	475.021	17.309	319.216	464.942	33.957	364.641	441.930	29.865	364.068	483.904	30.356	412.369	469.429	61.832	122.764	468.509	-0.524
29	0.14000	419.920	339.235	221.126	390.539	397.106	177.874	451.985	330.149	133.753	390.592	303.968	187.335	316.904	472.223	47.174	190.784	475.009	17.311	319.220	464.801	34.039	364.587	441.930	29.822	364.043	483.917	30.352	412.378	469.439	61.843	122.585	469.042	-1.096
30	0.14500	419.914	339.244	221.126	390.542	397.120	177.872	451.980	330.148	133.754	390.581	303.977	187.332	316.926	472.232	47.154	190.777	475.008	17.302	319.216	464.812	34.030	364.624	441.943	29.842	364.067	483.881	30.352	412.376	469.438	61.833	122.582	469.050	-1.079
31	0.15000	419.918	339.239	221.128	390.543	397.110	177.883	451.978	330.146	133.743	390.578	303.979	187.319	316.918	472.238	47.153	190.782	474.989	17.294	319.221	464.915	33.967	364.583	441.935	29.844	364.060	483.925	30.344	412.363	469.438	61.828	122.735	468.527	-0.527
32	0.15500	419.916	339.230	221.120	390.542	397.110	177.884	451.979	330.148	133.752	390.582	303.972	187.323	316.922	472.242	47.152	190.772	474.994	17.293	319.204	464.809	34.036	364.627	441.941	29.850	364.053	483.896	30.354	412.383	469.434	61.828	122.598	469.018	-1.084
33	0.16000	419.914	339.236	221.134	390.547	397.103	177.885	451.976	330.154	133.751	390.588	303.972	187.313	316.909	472.213	47.176	190.765	474.992	17.308	319.241	464.924	33.960	364.640	441.926	29.860	364.064	483.890	30.337	412.374	469.428	61.831	122.588	469.037	-1.091
34	0.16500	419.912	339.235	221.132	390.546	397.108	177.888	451.979	330.158	133.747	390.578	303.981	187.319	316.919	472.247	47.139	190.758	474.989	17.283	319.238	464.911	33.980	364.643	441.937	29.853	364.055	483.889	30.344	412.373	469.431	61.835	122.604	469.036	-1.063
35	0.17000	419.915	339.237	221.124	390.547	397.089	177.888	451.978	330.148	133.757	390.583	303.970	187.329	316.914	472.217	47.166	190.762	474.970	17.299	319.235	464.917	33.957	364.633	441.943	29.879	364.044	483.891	30.337	412.363	469.432	61.830	122.581	469.032	-1.078
36	0.17500	419.909	339.235	221.128	390.555	397.102	177.891	451.977	330.158	133.743	390.586	303.987	187.314	316.926	472.221	47.153	190.759	474.978	17.309	319.222	464.924	33.946	364.644	441.943	29.842	364.056	483.912	30.326	412.363	469.432	61.827	122.593	469.045	-1.110
