NO_OF_FRAMES	5500
NO_OF_CAMERAS	14
NO_OF_MARKERS	11
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-06-20, 10:57:21.232	88845.24398590
DATA_INCLUDED	3D
EVENT	Extra markers on catheter, no marker on tip, ideal phantom angle	1	0.00000
MARKER_NAMES	skull_phantom1	skull_phantom2	skull_phantom3	skull_phantom4	catheter3_mid3_tip1	catheter3_mid3_tip2	catheter3_mid3_tip3	catheter3_mid3_tip4	catheter3_mid3_tip5	catheter3_mid3_tip6	catheter3_mid3_tip7
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Virtual
Frame	Time	skull_phantom1 X	skull_phantom1 Y	skull_phantom1 Z	skull_phantom2 X	skull_phantom2 Y	skull_phantom2 Z	skull_phantom3 X	skull_phantom3 Y	skull_phantom3 Z	skull_phantom4 X	skull_phantom4 Y	skull_phantom4 Z	catheter3_mid3_tip1 X	catheter3_mid3_tip1 Y	catheter3_mid3_tip1 Z	catheter3_mid3_tip2 X	catheter3_mid3_tip2 Y	catheter3_mid3_tip2 Z	catheter3_mid3_tip3 X	catheter3_mid3_tip3 Y	catheter3_mid3_tip3 Z	catheter3_mid3_tip4 X	catheter3_mid3_tip4 Y	catheter3_mid3_tip4 Z	catheter3_mid3_tip5 X	catheter3_mid3_tip5 Y	catheter3_mid3_tip5 Z	catheter3_mid3_tip6 X	catheter3_mid3_tip6 Y	catheter3_mid3_tip6 Z	catheter3_mid3_tip7 X	catheter3_mid3_tip7 Y	catheter3_mid3_tip7 Z	
30	0.14500	420.495	336.737	221.179	391.055	395.250	178.476	452.257	328.360	133.590	391.127	301.571	187.411	317.811	477.022	47.212	191.757	475.363	18.748	319.723	469.173	34.320	365.164	447.052	29.850	364.308	489.238	30.361	412.549	475.039	62.295	124.075	468.331	-3.347
31	0.15000	420.495	336.735	221.175	391.051	395.266	178.483	452.255	328.359	133.587	391.098	301.735	187.254	317.822	477.005	47.217	191.756	475.362	18.747	319.720	469.161	34.318	365.172	447.057	29.836	364.307	489.229	30.360	412.550	475.044	62.286	124.076	468.324	-3.343
32	0.15500	420.501	336.734	221.170	391.061	395.258	178.479	452.257	328.364	133.589	391.106	301.741	187.246	317.811	477.006	47.214	191.763	475.371	18.734	319.719	469.161	34.311	365.160	447.060	29.850	364.323	489.206	30.364	412.549	475.049	62.282	124.078	468.332	-3.359
33	0.16000	420.491	336.738	221.177	391.061	395.254	178.484	452.250	328.370	133.582	391.126	301.607	187.364	317.812	477.014	47.206	191.765	475.367	18.730	319.726	469.146	34.325	365.164	447.062	29.847	364.311	489.208	30.369	412.544	475.049	62.277	124.079	468.323	-3.361
34	0.16500	420.500	336.740	221.181	391.068	395.242	178.480	452.257	328.362	133.577	391.091	301.730	187.239	317.819	476.997	47.218	191.763	475.374	18.715	319.732	469.158	34.314	365.173	447.072	29.837	364.311	489.220	30.360	412.551	475.040	62.275	124.085	468.337	-3.377
35	0.17000	420.494	336.737	221.171	391.062	395.242	178.479	452.251	328.381	133.594	391.098	301.741	187.228	317.821	476.999	47.217	191.762	475.370	18.727	319.735	469.153	34.312	365.166	447.075	29.849	364.315	489.219	30.342	412.550	475.052	62.277	124.082	468.322	-3.361
36	0.17500	420.498	336.737	221.163	391.064	395.242	178.491	452.254	328.367	133.585	391.095	301.741	187.232	317.808	477.002	47.211	191.752	475.361	18.701	319.730	469.137	34.318	365.185	447.088	29.841	364.326	489.206	30.345	412.547	475.051	62.279	124.087	468.308	-3.392
37	0.18000	420.498	336.729	221.170	391.067	395.242	178.478	452.255	328.368	133.583	391.093	301.762	187.209	317.808	476.998	47.212	191.750	475.360	18.704	319.729	469.152	34.311	365.182	447.073	29.842	364.328	489.218	30.348	412.540	475.049	62.280	124.086	468.313	-3.393
38	0.18500	420.504	336.740	221.171	391.067	395.240	178.500	452.256	328.375	133.588	391.085	301.751	187.204	317.814	476.987	47.215	191.754	475.378	18.731	319.723	469.158	34.293	365.204	447.095	29.851	364.310	489.222	30.339	412.546	475.053	62.280	124.083	468.323	-3.367
39	0.19000	420.495	336.744	221.165	391.071	395.246	178.488	452.255	328.377	133.576	391.115	301.620	187.321	317.815	476.997	47.202	191.753	475.354	18.737	319.730	469.126	34.309	365.189	447.073	29.828	364.328	489.216	30.353	412.544	475.053	62.274	124.082	468.299	-3.357
40	0.19500	420.504	336.737	221.176	391.067	395.243	178.487	452.245	328.367	133.586	391.083	301.766	187.205	317.816	476.992	47.202	191.838	475.385	18.758	319.729	469.135	34.316	365.185	447.078	29.849	364.329	489.217	30.364	412.553	475.038	62.276	124.097	468.344	-3.345
41	0.20000	420.498	336.732	221.170	391.070	395.239	178.484	452.257	328.374	133.582	391.088	301.768	187.187	317.816	476.977	47.204	191.870	475.397	18.750	319.731	469.125	34.310	365.180	447.070	29.839	364.321	489.229	30.353	412.553	475.046	62.283	124.103	468.350	-3.362
42	0.20500	420.500	336.738	221.173	391.073	395.228	178.500	452.250	328.368	133.582	391.089	301.774	187.186	317.815	476.979	47.211	191.856	475.397	18.769	319.732	469.145	34.308	365.203	447.078	29.851	364.316	489.205	30.347	412.556	475.026	62.278	124.099	468.358	-3.335
43	0.21000	420.494	336.728	221.162	391.078	395.235	178.489	452.248	328.364	133.584	391.084	301.777	187.188	317.822	476.993	47.203	191.875	475.403	18.754	319.733	469.131	34.320	365.192	447.065	29.858	364.312	489.217	30.335	412.543	475.034	62.270	124.101	468.357	-3.347
44	0.21500	420.495	336.743	221.170	391.067	395.234	178.495	452.251	328.355	133.585	391.110	301.639	187.302	317.821	476.990	47.206	191.878	475.413	18.758	319.725	469.126	34.299	365.196	447.096	29.849	364.320	489.230	30.336	412.549	475.054	62.282	124.104	468.360	-3.354
45	0.22000	420.503	336.732	221.170	391.078	395.225	178.497	452.254	328.361	133.580	391.086	301.779	187.186	317.824	476.996	47.196	191.862	475.443	18.749	319.739	469.142	34.303	365.193	447.080	29.865	364.335	489.212	30.351	412.542	475.054	62.286	124.107	468.398	-3.367
46	0.22500	420.503	336.730	221.168	391.072	395.231	178.488	452.248	328.374	133.586	391.080	301.776	187.187	317.814	476.983	47.209	191.861	475.444	18.706	319.739	469.134	34.295	365.209	447.083	29.849	364.322	489.200	30.342	412.548	475.027	62.281	124.113	468.407	-3.412
47	0.23000	420.497	336.725	221.172	391.075	395.231	178.493	452.253	328.365	133.585	391.084	301.771	187.180	317.819	476.988	47.206	191.854	475.453	18.715	319.731	469.127	34.316	365.191	447.078	29.849	364.326	489.225	30.341	412.554	475.043	62.279	124.107	468.411	-3.393
48	0.23500	420.501	336.741	221.172	391.082	395.225	178.498	452.252	328.371	133.582	391.081	301.788	187.172	317.830	476.991	47.199	191.847	475.450	18.685	319.733	469.112	34.313	365.203	447.094	29.848	364.315	489.194	30.334	412.549	475.044	62.278	124.113	468.400	-3.425
49	0.24000	420.508	336.740	221.166	391.078	395.221	178.496	452.251	328.366	133.581	391.079	301.780	187.173	317.821	476.997	47.183	191.830	475.479	18.698	319.730	469.113	34.319	365.204	447.093	29.848	364.318	489.220	30.332	412.558	475.045	62.281	124.107	468.433	-3.412
50	0.24500	420.507	336.734	221.167	391.079	395.233	178.492	452.250	328.360	133.587	391.076	301.785	187.158	317.830	477.001	47.192	191.837	475.474	18.658	319.737	469.110	34.308	365.199	447.084	29.841	364.321	489.204	30.329	412.552	475.033	62.265	124.114	468.434	-3.449
51	0.25000	420.501	336.742	221.167	391.087	395.224	178.494	452.249	328.373	133.585	391.065	301.787	187.165	317.817	476.976	47.187	191.819	475.482	18.646	319.730	469.139	34.291	365.202	447.081	29.863	364.323	489.205	30.345	412.548	475.050	62.289	124.116	468.436	-3.481
52	0.25500	420.502	336.745	221.158	391.075	395.248	178.480	452.255	328.371	133.581	391.078	301.784	187.164	317.828	476.975	47.206	191.802	475.466	18.666	319.737	469.123	34.313	365.199	447.085	29.855	364.317	489.219	30.320	412.551	475.018	62.274	124.106	468.428	-3.437
53	0.26000	420.498	336.745	221.159	391.080	395.233	178.486	452.252	328.373	133.582	391.084	301.772	187.165	317.825	476.988	47.203	191.805	475.465	18.628	319.729	469.114	34.308	365.195	447.087	29.863	364.314	489.215	30.335	412.558	475.020	62.267	124.112	468.426	-3.478
54	0.26500	420.502	336.740	221.160	391.079	395.235	178.485	452.254	328.375	133.580	391.084	301.797	187.149	317.810	476.986	47.198	191.796	475.480	18.626	319.746	469.112	34.310	365.219	447.087	29.860	364.316	489.226	30.337	412.550	475.040	62.281	124.117	468.428	-3.490
55	0.27000	420.504	336.733	221.166	391.083	395.234	178.498	452.252	328.375	133.579	391.069	301.783	187.146	317.825	476.983	47.181	191.781	475.469	18.635	319.740	469.127	34.298	365.208	447.084	29.851	364.315	489.225	30.354	412.559	475.038	62.269	124.113	468.425	-3.479
56	0.27500	420.506	336.744	221.160	391.082	395.232	178.481	452.253	328.386	133.583	391.079	301.769	187.169	317.829	476.974	47.212	191.785	475.495	18.609	319.749	469.132	34.287	365.209	447.103	29.849	364.335	489.213	30.349	412.550	475.049	62.267	124.122	468.452	-3.505
