FRAME,TIME,PHANTOM,MARKER_NR,TRAJECTORY_TYPE,X,Y,Z
17,0.08000,catheter,tip1,Measured,303.330,84.545,-20.432
17,0.08000,catheter,tip2,Measured,356.270,72.267,3.589
17,0.08000,catheter,tip3,Virtual,60.992,67.474,-21.888
17,0.08000,catheter,tip4,Measured,305.268,42.829,-19.807
18,0.08500,skull,phantom1,Measured,338.669,353.397,182.569
18,0.08500,skull,phantom2,Measured,302.168,413.457,148.455
18,0.08500,skull,phantom3,Measured,351.640,347.244,90.401
18,0.08500,skull,phantom4,Measured,301.872,320.074,154.344
18,0.08500,catheter,tip1,Measured,303.324,84.558,-20.430
18,0.08500,catheter,tip2,Measured,356.277,72.266,3.587
18,0.08500,catheter,tip3,Virtual,60.947,67.752,-21.732
18,0.08500,catheter,tip4,Measured,305.145,42.764,-19.773
19,0.09000,skull,phantom1,Measured,338.676,353.401,182.571
19,0.09000,skull,phantom2,Measured,302.160,413.471,148.449
19,0.09000,skull,phantom3,Measured,351.650,347.248,90.409
19,0.09000,skull,phantom4,Measured,301.869,320.076,154.347
19,0.09000,catheter,tip1,Measured,303.315,84.549,-20.436
19,0.09000,catheter,tip2,Measured,356.270,72.262,3.589
19,0.09000,catheter,tip3,Virtual,60.987,67.460,-21.884
19,0.09000,catheter,tip4,Measured,305.269,42.826,-19.808
20,0.09500,skull,phantom1,Measured,338.657,353.411,182.583
20,0.09500,skull,phantom2,Measured,302.161,413.471,148.463
20,0.09500,skull,phantom3,Measured,351.633,347.246,90.413
20,0.09500,skull,phantom4,Measured,301.861,320.078,154.358
20,0.09500,catheter,tip1,Measured,303.315,84.551,-20.430
20,0.09500,catheter,tip2,Measured,356.279,72.261,3.583
20,0.09500,catheter,tip3,Virtual,60.997,67.387,-21.806
20,0.09500,catheter,tip4,Measured,305.300,42.813,-19.784
21,0.10000,skull,phantom1,Measured,338.646,353.414,182.580
21,0.10000,skull,phantom2,Measured,302.144,413.471,148.453
21,0.10000,skull,phantom3,Measured,351.633,347.252,90.415
21,0.10000,skull,phantom4,Measured,301.847,320.087,154.361
21,0.10000,catheter,tip1,Measured,303.327,84.538,-20.438
21,0.10000,catheter,tip2,Measured,356.272,72.279,3.589
21,0.10000,catheter,tip3,Virtual,61.000,67.343,-21.864
21,0.10000,catheter,tip4,Measured,305.297,42.792,-19.772
22,0.10500,skull,phantom1,Measured,338.642,353.405,182.591
22,0.10500,skull,phantom2,Measured,302.139,413.467,148.462
22,0.10500,skull,phantom3,Measured,351.620,347.249,90.433
22,0.10500,skull,phantom4,Measured,301.840,320.086,154.363
22,0.10500,catheter,tip1,Measured,303.322,84.553,-20.435
22,0.10500,catheter,tip2,Measured,356.272,72.266,3.586
22,0.10500,catheter,tip3,Virtual,60.994,67.398,-21.887
22,0.10500,catheter,tip4,Measured,305.283,42.811,-19.812
23,0.11000,skull,phantom1,Measured,338.632,353.403,182.601
23,0.11000,skull,phantom2,Measured,302.118,413.461,148.467
23,0.11000,skull,phantom3,Measured,351.625,347.237,90.434
23,0.11000,skull,phantom4,Measured,301.827,320.086,154.379
23,0.11000,catheter,tip1,Measured,303.326,84.533,-20.458
23,0.11000,catheter,tip2,Measured,356.270,72.266,3.584
23,0.11000,catheter,tip3,Virtual,61.003,67.387,-21.950
23,0.11000,catheter,tip4,Measured,305.300,42.813,-19.796
24,0.11500,skull,phantom1,Measured,338.615,353.380,182.600
24,0.11500,skull,phantom2,Measured,302.108,413.468,148.478
24,0.11500,skull,phantom3,Measured,351.615,347.231,90.437
24,0.11500,skull,phantom4,Measured,301.824,320.056,154.370
24,0.11500,catheter,tip1,Measured,303.297,84.568,-20.421
24,0.11500,catheter,tip2,Measured,356.270,72.263,3.590
24,0.11500,catheter,tip3,Virtual,60.978,67.435,-21.746
24,0.11500,catheter,tip4,Measured,305.274,42.800,-19.763
25,0.12000,skull,phantom1,Measured,338.610,353.386,182.614
25,0.12000,skull,phantom2,Measured,302.112,413.442,148.490
25,0.12000,skull,phantom3,Measured,351.613,347.225,90.450
25,0.12000,skull,phantom4,Measured,301.818,320.063,154.365
25,0.12000,catheter,tip1,Measured,303.297,84.580,-20.416
25,0.12000,catheter,tip2,Measured,356.274,72.255,3.584
25,0.12000,catheter,tip3,Virtual,60.981,67.450,-21.748
25,0.12000,catheter,tip4,Measured,305.280,42.818,-19.791
26,0.12500,skull,phantom1,Measured,338.597,353.348,182.613
26,0.12500,skull,phantom2,Measured,302.107,413.426,148.491
26,0.12500,skull,phantom3,Measured,351.607,347.213,90.439
26,0.12500,skull,phantom4,Measured,301.812,320.052,154.377
26,0.12500,catheter,tip1,Measured,303.304,84.554,-20.437
26,0.12500,catheter,tip2,Measured,356.271,72.261,3.580
26,0.12500,catheter,tip3,Virtual,60.983,67.411,-21.801
26,0.12500,catheter,tip4,Measured,305.278,42.796,-19.780
27,0.13000,skull,phantom1,Measured,338.602,353.337,182.615
27,0.13000,skull,phantom2,Measured,302.101,413.423,148.505
27,0.13000,skull,phantom3,Measured,351.605,347.223,90.442
27,0.13000,skull,phantom4,Measured,301.802,320.030,154.375
27,0.13000,catheter,tip1,Measured,303.285,84.550,-20.438
27,0.13000,catheter,tip2,Measured,356.252,72.268,3.587
27,0.13000,catheter,tip3,Virtual,60.971,67.374,-21.852
27,0.13000,catheter,tip4,Measured,305.272,42.817,-19.791
28,0.13500,skull,phantom1,Measured,338.594,353.332,182.614
28,0.13500,skull,phantom2,Measured,302.099,413.405,148.495
28,0.13500,skull,phantom3,Measured,351.610,347.213,90.448
28,0.13500,skull,phantom4,Measured,301.816,320.013,154.368
28,0.13500,catheter,tip1,Measured,303.314,84.536,-20.437
28,0.13500,catheter,tip2,Measured,356.263,72.254,3.581
28,0.13500,catheter,tip3,Virtual,60.989,67.375,-21.866
28,0.13500,catheter,tip4,Measured,305.285,42.802,-19.801
29,0.14000,skull,phantom1,Measured,338.599,353.315,182.605
29,0.14000,skull,phantom2,Measured,302.103,413.403,148.500
29,0.14000,skull,phantom3,Measured,351.604,347.204,90.438
29,0.14000,skull,phantom4,Measured,301.803,320.013,154.361
29,0.14000,catheter,tip1,Measured,303.296,84.565,-20.424
29,0.14000,catheter,tip2,Measured,356.259,72.257,3.580
29,0.14000,catheter,tip3,Virtual,60.971,67.441,-21.751
29,0.14000,catheter,tip4,Measured,305.266,42.796,-19.772
30,0.14500,skull,phantom1,Measured,338.603,353.317,182.593
30,0.14500,skull,phantom2,Measured,302.106,413.404,148.499
30,0.14500,skull,phantom3,Measured,351.601,347.198,90.436
30,0.14500,skull,phantom4,Measured,301.821,320.000,154.361
30,0.14500,catheter,tip1,Measured,303.298,84.546,-20.440
30,0.14500,catheter,tip2,Measured,356.257,72.260,3.589
30,0.14500,catheter,tip3,Virtual,60.979,67.400,-21.900
30,0.14500,catheter,tip4,Measured,305.274,42.819,-19.806
31,0.15000,skull,phantom1,Measured,338.605,353.320,182.596
31,0.15000,skull,phantom2,Measured,302.111,413.389,148.500
31,0.15000,skull,phantom3,Measured,351.605,347.202,90.439
31,0.15000,skull,phantom4,Measured,301.808,320.001,154.352
31,0.15000,catheter,tip1,Measured,303.306,84.542,-20.441
31,0.15000,catheter,tip2,Measured,356.258,72.254,3.583
31,0.15000,catheter,tip3,Virtual,60.974,67.478,-21.850
31,0.15000,catheter,tip4,Measured,305.254,42.804,-19.789
32,0.15500,skull,phantom1,Measured,338.610,353.339,182.596
32,0.15500,skull,phantom2,Measured,302.101,413.400,148.502
32,0.15500,skull,phantom3,Measured,351.604,347.201,90.432
32,0.15500,skull,phantom4,Measured,301.821,320.018,154.342
32,0.15500,catheter,tip1,Measured,303.296,84.554,-20.442
32,0.15500,catheter,tip2,Measured,356.255,72.268,3.588
32,0.15500,catheter,tip3,Virtual,60.975,67.406,-21.895
32,0.15500,catheter,tip4,Measured,305.268,42.817,-19.803
33,0.16000,skull,phantom1,Measured,338.616,353.326,182.592
33,0.16000,skull,phantom2,Measured,302.113,413.398,148.497
33,0.16000,skull,phantom3,Measured,351.613,347.217,90.427
33,0.16000,skull,phantom4,Measured,301.816,320.020,154.349
33,0.16000,catheter,tip1,Measured,303.280,84.562,-20.434
33,0.16000,catheter,tip2,Measured,356.240,72.264,3.578
33,0.16000,catheter,tip3,Virtual,60.912,67.642,-21.761
33,0.16000,catheter,tip4,Measured,305.120,42.745,-19.809
34,0.16500,skull,phantom1,Measured,338.609,353.331,182.587
34,0.16500,skull,phantom2,Measured,302.105,413.418,148.489
34,0.16500,skull,phantom3,Measured,351.608,347.223,90.432
34,0.16500,skull,phantom4,Measured,301.824,320.032,154.355
34,0.16500,catheter,tip1,Measured,303.284,84.542,-20.452
34,0.16500,catheter,tip2,Measured,356.248,72.265,3.590
34,0.16500,catheter,tip3,Virtual,60.917,67.721,-21.799
34,0.16500,catheter,tip4,Measured,305.117,42.754,-19.770
35,0.17000,skull,phantom1,Measured,338.619,353.349,182.592
35,0.17000,skull,phantom2,Measured,302.106,413.417,148.480
35,0.17000,skull,phantom3,Measured,351.609,347.224,90.420
35,0.17000,skull,phantom4,Measured,301.825,320.039,154.357
35,0.17000,catheter,tip1,Measured,303.290,84.547,-20.438
35,0.17000,catheter,tip2,Measured,356.247,72.264,3.579
35,0.17000,catheter,tip3,Virtual,60.962,67.445,-21.807
35,0.17000,catheter,tip4,Measured,305.251,42.810,-19.780
36,0.17500,skull,phantom1,Measured,338.612,353.369,182.590
36,0.17500,skull,phantom2,Measured,302.104,413.442,148.477
36,0.17500,skull,phantom3,Measured,351.608,347.227,90.434
36,0.17500,skull,phantom4,Measured,301.814,320.054,154.362
36,0.17500,catheter,tip1,Measured,303.289,84.543,-20.449
36,0.17500,catheter,tip2,Measured,356.253,72.260,3.581
36,0.17500,catheter,tip3,Virtual,60.970,67.411,-21.899
36,0.17500,catheter,tip4,Measured,305.260,42.821,-19.816
37,0.18000,skull,phantom1,Measured,338.615,353.390,182.592
37,0.18000,skull,phantom2,Measured,302.110,413.444,148.470
37,0.18000,skull,phantom3,Measured,351.611,347.236,90.434
37,0.18000,skull,phantom4,Measured,301.812,320.062,154.359
37,0.18000,catheter,tip1,Measured,303.295,84.549,-20.436
37,0.18000,catheter,tip2,Measured,356.254,72.265,3.582
37,0.18000,catheter,tip3,Virtual,60.971,67.408,-21.862
37,0.18000,catheter,tip4,Measured,305.262,42.825,-19.812
38,0.18500,skull,phantom1,Measured,338.607,353.389,182.599
38,0.18500,skull,phantom2,Measured,302.097,413.458,148.481
38,0.18500,skull,phantom3,Measured,351.605,347.237,90.440
38,0.18500,skull,phantom4,Measured,301.807,320.078,154.373
38,0.18500,catheter,tip1,Measured,303.307,84.538,-20.437
38,0.18500,catheter,tip2,Measured,356.257,72.253,3.578
38,0.18500,catheter,tip3,Virtual,60.978,67.417,-21.826
38,0.18500,catheter,tip4,Measured,305.269,42.798,-19.787
39,0.19000,skull,phantom1,Measured,338.592,353.406,182.614
39,0.19000,skull,phantom2,Measured,302.091,413.456,148.481
39,0.19000,skull,phantom3,Measured,351.603,347.247,90.439
39,0.19000,skull,phantom4,Measured,301.800,320.081,154.371
39,0.19000,catheter,tip1,Measured,303.293,84.566,-20.438
39,0.19000,catheter,tip2,Measured,356.259,72.254,3.590
39,0.19000,catheter,tip3,Virtual,60.974,67.449,-21.933
39,0.19000,catheter,tip4,Measured,305.260,42.833,-19.841
40,0.19500,skull,phantom1,Measured,338.593,353.403,182.608
40,0.19500,skull,phantom2,Measured,302.091,413.452,148.485
40,0.19500,skull,phantom3,Measured,351.592,347.246,90.447
40,0.19500,skull,phantom4,Measured,301.794,320.082,154.364
40,0.19500,catheter,tip1,Measured,303.290,84.583,-20.441
40,0.19500,catheter,tip2,Measured,356.255,72.269,3.577
40,0.19500,catheter,tip3,Virtual,60.971,67.443,-21.814
40,0.19500,catheter,tip4,Measured,305.271,42.804,-19.782
41,0.20000,skull,phantom1,Measured,338.582,353.405,182.631
41,0.20000,skull,phantom2,Measured,302.090,413.480,148.477
41,0.20000,skull,phantom3,Measured,351.597,347.248,90.449
41,0.20000,skull,phantom4,Measured,301.797,320.084,154.377
41,0.20000,catheter,tip1,Measured,303.314,84.541,-20.442
41,0.20000,catheter,tip2,Measured,356.255,72.267,3.580
41,0.20000,catheter,tip3,Virtual,60.982,67.440,-21.880
41,0.20000,catheter,tip4,Measured,305.273,42.829,-19.797
42,0.20500,skull,phantom1,Measured,338.590,353.404,182.623
42,0.20500,skull,phantom2,Measured,302.089,413.458,148.483
42,0.20500,skull,phantom3,Measured,351.597,347.251,90.453
42,0.20500,skull,phantom4,Measured,301.795,320.089,154.370
42,0.20500,catheter,tip1,Measured,303.292,84.586,-20.428
42,0.20500,catheter,tip2,Measured,356.264,72.262,3.579
42,0.20500,catheter,tip3,Virtual,60.929,67.699,-21.689
42,0.20500,catheter,tip4,Measured,305.141,42.744,-19.782
43,0.21000,skull,phantom1,Measured,338.586,353.410,182.616
43,0.21000,skull,phantom2,Measured,302.098,413.467,148.485
43,0.21000,skull,phantom3,Measured,351.597,347.251,90.458
43,0.21000,skull,phantom4,Measured,301.797,320.087,154.372
43,0.21000,catheter,tip1,Measured,303.310,84.567,-20.439
43,0.21000,catheter,tip2,Measured,356.268,72.260,3.584
43,0.21000,catheter,tip3,Virtual,60.978,67.524,-21.859
43,0.21000,catheter,tip4,Measured,305.251,42.816,-19.806
44,0.21500,skull,phantom1,Measured,338.596,353.418,182.622
44,0.21500,skull,phantom2,Measured,302.096,413.469,148.488
44,0.21500,skull,phantom3,Measured,351.607,347.251,90.456
44,0.21500,skull,phantom4,Measured,301.799,320.088,154.378
44,0.21500,catheter,tip1,Measured,303.301,84.573,-20.441
44,0.21500,catheter,tip2,Measured,356.261,72.264,3.579
44,0.21500,catheter,tip3,Virtual,60.979,67.460,-21.846
44,0.21500,catheter,tip4,Measured,305.272,42.815,-19.796
45,0.22000,skull,phantom1,Measured,338.602,353.414,182.617
45,0.22000,skull,phantom2,Measured,302.094,413.466,148.482
